1012,REPUBLICAN,2408,71 +,08/2006,51,PERM
1013,REPUBLICAN,2411,71 +,08/2006,50,PERM
1014,DEMOCRAT,2424,71 +,08/2006,50,PERM
1015,DEMOCRAT,2418,71 +,08/2006,50,POLL
1016,REPUBLICAN,2411,71 +,08/2006,50,PERM
1017,REPUBLICAN,2419,71 +,08/2006,50,PERM
1018,REPUBLICAN,2417,71 +,08/2006,48,PERM
1019,REPUBLICAN,2417,71 +,08/2006,48,PERM
1023,DEMOCRAT,2424,71 +,08/2006,46,POLL
1024,REPUBLICAN,2411,71 +,08/2006,46,PERM
1025,REPUBLICAN,2416,71 +,06/2006,46,POLL
1026,DEMOCRAT,2405,71 +,08/2006,46,PERM
1027,REPUBLICAN,2405,71 +,08/2006,3,PERM
1028,REPUBLICAN,2420,71 +,06/2006,46,PERM
1029,DEMOCRAT,2416,71 +,08/2006,45,PERM
1030,REPUBLICAN,2416,71 +,08/2006,44,PERM
1031,REPUBLICAN,2412,71 +,08/2006,44,PERM
1032,DEMOCRAT,2420,71 +,08/2006,44,PERM
1033,DEMOCRAT,2419,61-70,08/2006,44,POLL
1034,DEMOCRAT,2408,71 +,06/2006,44,PERM
1035,DECLINED,2418,71 +,08/2006,44,POLL
1036,DECLINED,2418,71 +,08/2006,44,POLL
1037,DEMOCRAT,2421,71 +,08/2006,44,PERM
1038,DEMOCRAT,2408,71 +,06/2006,42,PERM
1039,REPUBLICAN,2423,71 +,06/2006,42,PERM
1040,DEMOCRAT,2405,71 +,06/2006,42,PERM
1041,DECLINED,2423,71 +,08/2006,42,PERM
1042,DEMOCRAT,2423,71 +,08/2006,42,PERM
1043,DEMOCRAT,2414,71 +,08/2006,7,PERM
1044,DEMOCRAT,2418,71 +,08/2006,42,PERM
1045,AMERICAN INDEP,2405,71 +,08/2006,42,POLL
1046,REPUBLICAN,2413,61-70,06/2006,42,PERM
1047,REPUBLICAN,2411,71 +,11/2005,42,PERM
1048,DEMOCRAT,2422,71 +,08/2006,42,PERM
1049,DEMOCRAT,2422,71 +,08/2006,42,PERM
1050,DEMOCRAT,2422,71 +,08/2006,42,POLL
1051,DEMOCRAT,2411,71 +,08/2006,41,PERM
1052,REPUBLICAN,2422,71 +,08/2006,41,PERM
1053,REPUBLICAN,2422,71 +,08/2006,41,PERM
1054,DEMOCRAT,2417,71 +,08/2006,40,PERM
1056,REPUBLICAN,2407,61-70,08/2006,41,PERM
1057,DEMOCRAT,2416,71 +,08/2006,40,POLL
1058,DEMOCRAT,2422,71 +,08/2006,40,PERM
1059,DEMOCRAT,2406,61-70,08/2006,40,POLL
1060,DEMOCRAT,2407,71 +,06/2006,40,POLL
1061,DEMOCRAT,2419,71 +,08/2006,40,PERM
1062,DEMOCRAT,2404,71 +,08/2006,40,PERM
1063,DEMOCRAT,2402,71 +,08/2006,40,PERM
1064,REPUBLICAN,2418,71 +,08/2006,40,PERM
1065,REPUBLICAN,2418,71 +,08/2006,40,PERM
1066,DEMOCRAT,2420,71 +,08/2006,40,PERM
1067,REPUBLICAN,2415,71 +,08/2006,40,POLL
1068,DEMOCRAT,2409,71 +,08/2006,38,PERM
1069,DEMOCRAT,2421,71 +,11/2005,39,POLL
1070,DEMOCRAT,2406,61-70,08/2006,38,POLL
1071,DEMOCRAT,2406,61-70,08/2006,38,POLL
1072,DEMOCRAT,2417,71 +,08/2006,38,POLL
1073,DEMOCRAT,2417,71 +,08/2006,38,POLL
1074,REPUBLICAN,2422,71 +,08/2006,39,PERM
1075,DEMOCRAT,2402,71 +,06/2006,38,PERM
1076,DECLINED,2423,61-70,08/2006,38,PERM
1077,REPUBLICAN,2415,71 +,08/2006,38,POLL
1078,REPUBLICAN,2422,71 +,08/2006,38,PERM
1079,DEMOCRAT,2422,71 +,08/2006,38,PERM
1080,DEMOCRAT,2413,71 +,11/2004,38,POLL
1081,DEMOCRAT,2413,61-70,08/2006,38,PERM
1082,DEMOCRAT,2424,71 +,06/2006,38,PERM
1083,DEMOCRAT,2409,71 +,08/2006,38,PERM
1084,DEMOCRAT,2407,61-70,06/2006,2,PERM
1085,DEMOCRAT,2409,61-70,08/2006,38,PERM
1086,REPUBLICAN,2411,71 +,08/2006,38,PERM
1087,DEMOCRAT,2405,61-70,06/2006,6,ABT
1088,REPUBLICAN,2405,71 +,08/2006,38,PERM
1089,DEMOCRAT,2404,61-70,08/2006,38,PERM
1090,DEMOCRAT,2413,61-70,08/2006,38,PERM
1091,REPUBLICAN,2422,71 +,08/2006,37,PERM
1092,DEMOCRAT,2414,71 +,08/2006,37,PERM
1095,DEMOCRAT,2402,61-70,08/2006,36,POLL
1096,DEMOCRAT,2415,61-70,08/2006,36,PERM
1097,DEMOCRAT,2402,61-70,08/2006,36,POLL
1098,DEMOCRAT,2411,71 +,08/2006,35,PERM
1099,REPUBLICAN,2415,61-70,11/2005,2,PERM
1100,REPUBLICAN,2424,61-70,08/2006,35,PERM
1101,REPUBLICAN,2417,61-70,08/2006,35,POLL
1102,DEMOCRAT,2409,51-60,11/2005,34,POLL
1103,REPUBLICAN,2405,61-70,08/2006,34,PERM
1104,DEMOCRAT,2405,61-70,08/2006,34,PERM
1105,DEMOCRAT,2416,51-60,08/2006,34,PERM
1106,DEMOCRAT,2408,71 +,08/2006,34,PERM
1107,DEMOCRAT,2411,61-70,08/2006,34,PERM
1108,REPUBLICAN,2419,71 +,08/2006,34,ABT
1109,AMERICAN INDEP,2404,71 +,08/2006,34,POLL
1110,DEMOCRAT,2421,61-70,08/2006,34,PERM
1111,DECLINED,2414,71 +,08/2006,34,POLL
1112,DECLINED,2421,71 +,08/2006,34,PERM
1113,REPUBLICAN,2415,71 +,08/2006,34,POLL
1114,DECLINED,2413,51-60,08/2006,34,PERM
1115,DEMOCRAT,2415,51-60,06/2006,34,PERM
1116,DECLINED,2423,71 +,08/2006,34,PERM
1117,DECLINED,2417,71 +,08/2006,34,PERM
1118,REPUBLICAN,2402,61-70,08/2006,33,PERM
1119,DECLINED,2417,71 +,08/2006,34,PERM
1120,REPUBLICAN,2405,51-60,08/2006,34,PERM
1121,REPUBLICAN,2402,51-60,08/2006,33,POLL
1122,DEMOCRAT,2419,71 +,08/2006,33,PERM
1123,DEMOCRAT,2404,61-70,08/2006,34,POLL
1124,DEMOCRAT,2419,61-70,08/2006,33,PERM
1125,DEMOCRAT,2424,71 +,08/2006,33,PERM
1126,DECLINED,2415,61-70,08/2006,34,PERM
1127,DECLINED,2401,61-70,08/2006,33,PERM
1128,REPUBLICAN,2413,61-70,08/2006,33,PERM
1129,DEMOCRAT,2413,61-70,08/2006,33,PERM
1130,REPUBLICAN,2415,61-70,08/2006,32,PERM
1131,REPUBLICAN,2406,71 +,06/2006,32,POLL
1132,REPUBLICAN,2422,71 +,08/2006,32,PERM
1133,DEMOCRAT,2419,61-70,08/2006,32,PERM
1134,DEMOCRAT,2405,71 +,06/2006,32,POLL
1135,REPUBLICAN,2416,71 +,08/2006,32,PERM
1136,DEMOCRAT,2402,61-70,06/2006,32,PERM
1137,DEMOCRAT,2416,71 +,08/2006,32,PERM
1138,DEMOCRAT,2416,71 +,08/2006,32,PERM
1139,REPUBLICAN,2423,71 +,08/2006,32,PERM
1140,REPUBLICAN,2423,71 +,08/2006,32,PERM
1141,REPUBLICAN,2406,71 +,08/2006,32,PERM
1142,DECLINED,2408,51-60,08/2006,32,PERM
1143,REPUBLICAN,2416,71 +,08/2006,32,PERM
1144,REPUBLICAN,2416,71 +,08/2006,32,PERM
1145,REPUBLICAN,2418,61-70,08/2006,32,POLL
1146,REPUBLICAN,2418,61-70,08/2006,5,PERM
1147,DEMOCRAT,2419,71 +,06/2006,32,POLL
1148,REPUBLICAN,2423,71 +,08/2006,32,PERM
1149,REPUBLICAN,2418,61-70,08/2006,32,POLL
1150,DECLINED,2424,71 +,08/2006,32,PERM
1151,DEMOCRAT,2416,71 +,11/2005,32,POLL
1152,DEMOCRAT,2407,71 +,08/2006,32,POLL
1153,DEMOCRAT,2422,61-70,08/2006,32,POLL
1154,DECLINED,2408,51-60,06/2006,32,PERM
1155,DECLINED,2418,71 +,08/2006,31,PERM
1156,DEMOCRAT,2404,51-60,08/2006,32,POLL
1157,DEMOCRAT,2418,71 +,08/2006,32,PERM
1158,REPUBLICAN,2412,71 +,06/2006,32,POLL
1159,REPUBLICAN,2412,71 +,11/2005,32,PERM
1160,DEMOCRAT,2416,71 +,08/2006,32,PERM
1161,DEMOCRAT,2402,61-70,08/2006,32,POLL
1162,REPUBLICAN,2406,61-70,06/2006,32,POLL
1163,REPUBLICAN,2406,61-70,11/2005,32,PERM
1164,DEMOCRAT,2419,71 +,08/2006,32,PERM
1165,REPUBLICAN,2414,71 +,08/2006,32,PERM
1166,DEMOCRAT,2418,71 +,08/2006,31,PERM
1167,REPUBLICAN,2421,71 +,08/2006,31,POLL
1168,REPUBLICAN,2421,61-70,08/2006,31,PERM
1169,REPUBLICAN,2422,71 +,11/2005,32,POLL
1170,REPUBLICAN,2417,71 +,08/2006,31,PERM
1171,DEMOCRAT,2423,71 +,08/2006,31,PERM
1172,DEMOCRAT,2406,51-60,08/2006,32,POLL
1173,REPUBLICAN,2416,71 +,08/2006,31,PERM
1174,REPUBLICAN,2419,61-70,06/2006,31,PERM
1175,REPUBLICAN,2419,71 +,08/2006,31,PERM
1176,REPUBLICAN,2409,71 +,08/2006,31,PERM
1177,DEMOCRAT,2409,71 +,06/2006,32,PERM
1178,REPUBLICAN,2405,71 +,08/2006,31,PERM
1179,DEMOCRAT,2406,51-60,08/2006,32,POLL
1180,DEMOCRAT,2413,71 +,06/2006,32,POLL
1181,DEMOCRAT,2409,51-60,11/2005,32,POLL
1182,REPUBLICAN,2414,71 +,06/2006,31,PERM
1183,DEMOCRAT,2421,61-70,08/2006,31,PERM
1184,DEMOCRAT,2414,71 +,08/2006,31,PERM
1185,REPUBLICAN,2409,71 +,08/2006,32,PERM
1186,REPUBLICAN,2423,61-70,06/2006,31,PERM
1187,REPUBLICAN,2423,61-70,06/2006,31,PERM
1188,DEMOCRAT,2409,71 +,06/2006,31,POLL
1189,DEMOCRAT,2417,71 +,06/2006,31,PERM
1190,DEMOCRAT,2408,51-60,06/2006,31,POLL
1191,REPUBLICAN,2408,71 +,06/2006,31,POLL
1192,REPUBLICAN,2411,61-70,08/2006,31,PERM
1193,REPUBLICAN,2411,61-70,08/2006,31,PERM
1194,DEMOCRAT,2421,61-70,08/2006,31,PERM
1195,DEMOCRAT,2418,71 +,11/2005,31,POLL
1196,REPUBLICAN,2424,61-70,06/2006,31,POLL
1197,REPUBLICAN,2418,71 +,08/2006,31,PERM
1198,DEMOCRAT,2418,61-70,08/2006,31,PERM
1199,DEMOCRAT,2417,61-70,08/2006,31,PERM
1200,REPUBLICAN,2417,61-70,08/2006,31,PERM
1201,REPUBLICAN,2408,71 +,08/2006,31,POLL
1202,REPUBLICAN,2417,61-70,06/2006,31,PERM
1203,REPUBLICAN,2414,71 +,06/2006,31,POLL
1204,REPUBLICAN,2417,71 +,06/2006,31,PERM
1205,DEMOCRAT,2401,61-70,11/2005,31,POLL
1206,REPUBLICAN,2401,71 +,11/2005,31,POLL
1207,DEMOCRAT,2402,71 +,08/2006,31,PERM
1208,DEMOCRAT,2423,51-60,06/2006,31,PERM
1209,REPUBLICAN,2424,61-70,06/2006,31,PERM
1210,DEMOCRAT,2417,71 +,08/2006,31,POLL
1211,REPUBLICAN,2421,71 +,08/2006,31,PERM
1212,REPUBLICAN,2404,61-70,06/2006,31,PERM
1213,DEMOCRAT,2412,71 +,08/2006,31,PERM
1214,DEMOCRAT,2408,71 +,08/2006,31,POLL
1215,REPUBLICAN,2416,51-60,11/2005,31,POLL
1216,DEMOCRAT,2417,61-70,08/2006,31,PERM
1217,REPUBLICAN,2424,71 +,06/2006,31,POLL
1218,REPUBLICAN,2422,71 +,06/2006,31,PERM
1219,DEMOCRAT,2414,61-70,08/2006,30,PERM
1220,REPUBLICAN,2424,71 +,11/2005,30,POLL
1221,REPUBLICAN,2419,71 +,08/2006,30,POLL
1222,REPUBLICAN,2413,71 +,08/2006,31,PERM
1223,REPUBLICAN,2421,71 +,11/2005,31,POLL
1224,DEMOCRAT,2422,71 +,08/2006,31,POLL
1225,REPUBLICAN,2422,71 +,08/2006,31,POLL
1226,DEMOCRAT,2404,61-70,11/2005,31,POLL
1227,DEMOCRAT,2423,71 +,08/2006,31,PERM
1228,REPUBLICAN,2422,71 +,06/2006,31,POLL
1229,REPUBLICAN,2419,61-70,08/2006,31,PERM
1230,DEMOCRAT,2413,71 +,08/2006,31,PERM
1231,REPUBLICAN,2419,61-70,08/2006,31,PERM
1232,REPUBLICAN,2406,71 +,08/2006,31,PERM
1233,REPUBLICAN,2412,61-70,06/2006,30,POLL
1234,DEMOCRAT,2421,71 +,06/2006,30,PERM
1235,DEMOCRAT,2406,61-70,08/2006,30,ABT
1236,REPUBLICAN,2416,71 +,06/2006,30,PERM
1237,REPUBLICAN,2424,71 +,11/2005,30,POLL
1238,DEMOCRAT,2414,71 +,11/2005,31,POLL
1239,GREEN,2414,51-60,11/2005,31,POLL
1240,REPUBLICAN,2424,71 +,11/2004,30,POLL
1241,REPUBLICAN,2423,41-50,11/2005,30,POLL
1242,REPUBLICAN,2416,71 +,06/2006,30,PERM
1244,DEMOCRAT,2416,61-70,08/2006,30,PERM
1245,REPUBLICAN,2418,61-70,08/2006,30,PERM
1246,REPUBLICAN,2416,71 +,11/2005,30,POLL
1247,DEMOCRAT,2405,41-50,06/2006,30,POLL
1248,REPUBLICAN,2408,71 +,08/2006,30,PERM
1249,GREEN,2415,61-70,08/2006,30,PERM
1250,DEMOCRAT,2406,51-60,06/2006,30,POLL
1252,DEMOCRAT,2418,61-70,08/2006,30,PERM
1253,REPUBLICAN,2402,71 +,06/2006,30,POLL
1254,DEMOCRAT,2414,71 +,08/2006,30,PERM
1255,DEMOCRAT,2413,71 +,06/2006,30,POLL
1257,DEMOCRAT,2417,71 +,08/2006,30,PERM
1258,REPUBLICAN,2421,61-70,08/2006,30,POLL
1259,REPUBLICAN,2417,71 +,08/2006,30,PERM
1260,DEMOCRAT,2421,61-70,08/2006,30,PERM
1261,DEMOCRAT,2418,51-60,06/2006,30,PERM
1262,REPUBLICAN,2414,51-60,11/2005,30,POLL
1263,REPUBLICAN,2418,41-50,08/2006,30,POLL
1264,DEMOCRAT,2417,61-70,06/2006,30,POLL
1265,REPUBLICAN,2416,51-60,08/2006,30,POLL
1266,DEMOCRAT,2404,61-70,08/2006,30,PERM
1267,REPUBLICAN,2423,61-70,11/2005,30,POLL
1268,DEMOCRAT,2418,41-50,08/2006,30,POLL
1269,DEMOCRAT,2418,51-60,06/2006,30,POLL
1270,REPUBLICAN,2421,51-60,08/2006,30,PERM
1271,REPUBLICAN,2415,71 +,08/2006,30,PERM
1273,REPUBLICAN,2418,71 +,08/2006,30,PERM
1274,REPUBLICAN,2418,71 +,06/2006,30,PERM
1275,DEMOCRAT,2422,41-50,11/2005,30,POLL
1276,REPUBLICAN,2418,51-60,11/2005,30,POLL
1277,DECLINED,2413,61-70,08/2006,30,ABT
1278,DEMOCRAT,2421,51-60,08/2006,30,PERM
1279,DEMOCRAT,2420,71 +,06/2006,9,POLL
1280,REPUBLICAN,2420,71 +,08/2006,30,PERM
1281,REPUBLICAN,2422,61-70,08/2006,30,POLL
